Acronym,Term,Definition
,"""-Ilities""","The operational and support requirements a program must address (e.g., availability, maintainability, vulnerability, reliability, and logistics supportability)."
,"""Smart"" Munitions","Munitions that “think for themselves” and have self-contained ability to search, detect, acquire, and engage targets. They will be delivered to target areas by guns, rockets, missiles, or aircraft with the carriers (platforms) delivering from one to a multitude of the munitions."
,4251/4252 Certification Memorandum,A written determination that statutory requirements have been met for Milestone A approval as required by 10 U.S.C. 4251. Certification & determination in writing that statutory requirements have been met for Milestone B approval as required by 10 U.S.C. 4252
,ACAT I,"Programs that are Major Defense Acquisition Programs. A Major Defense Acquisition Program is a program that is not a highly sensitive classified program and that is designated by the USD(A&S) as a Major Defense Acquisition Program; or that is estimated to require eventual expenditure for research, development, test, and evaluation, including all planned increments, of more than $525 million (FY 2020 constant dollars) or procurement, including all planned increments, of more than $3.065 billion (FY 2020 constant dollars). ACAT I programs have three sub-categories: • ACAT 1B for which the MDA is the SAE. • ACAT ID for which the MDA is the DAE, unless delegated. The “D” refers to the Defense Acquisition Board, which advises the USD(A&S) at major decision points. • ACAT IC for which the MDA is the DoD Component head or, if delegated, the DoD component acquisition executive."
,ACAT IB,"​A Major Defense Acquisition Program for which the Service Acquisition Executive (SAE) is the Milestone Decision Authority by operation of Section 2430 of Title 10, U.S.C., will be designated within the DoD as ACAT IB programs. The SAE of the Military Department that is managing an MDAP reaching Milestone A after October 1, 2016 will be the MDA for the MDAP and designated ACAT IB to differentiate these programs from ACAT ID programs or ACAT IC programs."
,ACAT IC,"ACAT IC for which the USD(A&S) delegated ACAT I milestone decision authority to the Head of the DoD Component or, if delegated, the Component Acquisition Executive (CAE). This designation (ACAT 1C) is only for programs that reached Milestone A BEFORE October 1, 2016."
,ACAT ID,ACAT ID for which the USD(A&S) as the Defense Acquisition Executive (DAE) makes a decision to become the MDA or designate another OSD official as the MDA. This decision would be based on one or more exceptions in 10 USC 2430(d). The DAE or designee will review ACAT ID programs.
,ACAT II,"ACAT II programs are defined as those acquisition programs that do not meet the criteria for an ACAT I program, but do meet the criteria for a major system as defined in Section 2302d of Title 10, U.S.C. The dollar value as estimated by the DoD Component head would require an eventual total expenditure for research, development, and test and evaluation of more than $200 million in FY 2020 constant dollars, or for procurement of more than $920 million in FY 2020 constant dollars. The Component Acquisition Executive (CAE), or the individual designated by the CAE, will review ACAT II programs as the Milestone Decision Authority."
,ACAT III,"ACAT III programs are defined as those acquisition programs that do not meet the dollar value thresholds for ACAT II or above, and is not designated a “major system” by the Milestone Decision Authority (MDA). The MDA is designated by the Component Acquisition Executive."
,Acceptance,"The act of an authorized representative of the Government by which the Government, for itself or as agent of another, assumes ownership of existing identified supplies tendered or approves specific services rendered as partial or complete performance of the contract."
,Accessibility,A measure of the relative ease of admission to the various areas of an item for operation or maintenance.
,Accounts Payable,"Amounts owed to other entities for goods and services received (i.e., actual or constructive receipt), progress in contract performance, and rents due to other entities."
 AR,Accounts Receivable,"Receivables arise from claims to cash or other assets against another entity. At the time revenue is recognized and payment has not been received in advance, a receivable must be established. Receivables include, but are not limited to, monies due for the sale of goods and services and monies due for indebtedness."
,Accrual Basis of Accounting,"A method of accounting in which revenues are recognized in the period earned and costs are recognized in the period incurred, regardless of when payment is received or made. There have been many initiatives over the years to convert the Federal Budget to an accrual accounting basis. Although the budget is on a cash basis, DoD accounting is on the accrual basis."
 AA,Achieved Availability,"Availability of a system with respect to operating time and both corrective and preventive maintenance. It ignores Mean Logistics Delay Time (MLDT) and may be calculated as Mean Time Between Maintenance (MTBM) divided by the sum of MTBM and Mean Maintenance Time (MMT), that is, Aa = MTBM ÷ (MTBM + MMT)"
,Acquipedia,Online encyclopedia of common defense acquisition topics from DAU.
,Acquisition,"The conceptualization, initiation, design, development, test, contracting, production, deployment, integrated product support, modification, and disposal of weapons and other systems, supplies, or services (including construction) to satisfy DoD needs, intended for use in, or in support of, military missions."
 ACAT,Acquisition Category,"Categories established to facilitate decentralized decision making and execution and compliance with statutorily imposed requirements. The categories determine the level of review, decision authority, and applicable procedures. ACAT categories include: ACAT I, ACAT II, ACAT III, ACAT IV (Navy and Marine Corps only), and Abbreviated Acquisition Program (Navy and Marine Corps only)."
,Acquisition Cost,"The amount, net of both trade and cash discounts, paid for property plus transportation costs and other ancillary costs to bring the item(s) to its current condition and location."
 ADM,Acquisition Decision Memorandums,A memorandum signed by the Milestone Decision Authority (MDA) that documents decisions made as the result of a Milestone Decision Review (MDR) or other decision or program review.
 AISWG,Acquisition Intelligence Support Working Group,"The senior working-level group within the DoD Intelligence Community (IC) which serves as a forum to study, discuss, and decide issues concerning and surrounding the provision of threat assessments to all stages of the defense acquisition process, within the framework set by department, agency, joint, and Military Service regulations and directives. Participants include the Military Service intelligence staffs; acquisition, requirements, and testing communities; intelligence production centers and other acquisition intelligence producers; and the Defense Intelligence Agency."
,Acquisition Life Cycle,"​The relationship between the acquisition phases and work efforts, and key program events such as decision points and reviews. It employs acquisition processes that match the characteristics of the capability being acquired."
